Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
NY.ADJ.DKAP.CD,422121916079.784,412163263600.596,366864488435.115,370268850388.905,364014869393.7,328168275463.435,329044738235.556,353556606460.596,428532959990.59,480124506857.957,488911352676.3,505580783627.22,579348628677.753,645865323593.488,627947846419.3,611913826242.675,664677398257.293,636422173822.638,676937281797.194,696336176281.488,600198109418.92,616440636387.557,654002456179.4,718532539844.898,0
NY.ADJ.AEDU.GN.ZS,4.2,4.2,4.3031373,4.07592447084732,4.0814339119914,4.08694335313549,4.09245279427957,4.09796223542366,4.10347167656774,4.10898111771183,4.11449055885591,4.12,4.19,4.25,4.65,4.68,4.54,4.67,4.46505772756269,4.48137846642977,4.37787374341734,4.3706831484686,4.3706831484686,4.3706831484686,0
NY.ADJ.DNGY.GN.ZS,0.0304593339099469,0.0361441953029581,0.0356147210205143,0.0208434395157008,0.0175168642672806,0.0495952228807909,0.0764940485652863,0.0618131591221735,0.0555038235369829,0.0615501518131214,0.0752029235096659,0.0940692073456439,0.0795533412001384,0.138305495518948,0.0852465891571103,0.0785053634940781,0.100963306792531,0.0843943783955278,0.062658587997126,0.0437232806974939,0.0294651243716479,0.0194791606909787,0.0259556024083307,0.0313736016454656,0
NY.ADJ.DNGY.CD,786536149.889603,902737421.886682,786291126.274608,464012481.810629,381697727.443324,958283856.02493,1476679360.52857,1265117565.1217,1371371820.80471,1739505770.48171,2157797484.26284,2862337841.11325,2761224875.04972,5207810450.46869,2961807493.67464,2719802617.17964,3877283774.42291,3048308068.77079,2393044261.06864,1732202700.7049,1012722217.67841,691927058.568532,973418148.240107,1273150166.85349,0
NY.ADJ.ICTR.GN.ZS,23.06965866,22.51830635,22.82927531,23.35964775,22.72013816,22.79358945,22.69892186,22.87595015,22.01694371,24.17249827,23.9328483,25.89926367,27.86117873,26.88804589,23.85336477,25.26799119,27.12627497,26.17237385,25.98035084,27.04186165,27.91508988,28.04800931,28.14633045,28.50950879,0
NY.ADJ.DMIN.GN.ZS,0,0,0,0,1.39626044822685E-05,2.87985174728261E-05,2.96055384601179E-05,2.0102127968703E-05,1.13427610625919E-05,8.59747256482553E-06,3.33324279755895E-05,6.47785606740402E-05,0.00010960434767372,0.000148990259828707,4.01637359760855E-05,0.000119619270929879,0.000193910829845415,0.00017764908383065,0.000167794080521425,0.000101380946183984,0,0,0,0,0
NY.ADJ.DMIN.CD,0,0,0,0,304249.340449975,556447.834461693,571520.117203346,411426.23270985,280253.537506202,242978.330638073,956407.355903589,1971082.0441897,3804268.2638419,5610138.83969407,1395448.84275311,4144185.71751146,7446738.20747049,6416649.37814632,6408357.96445815,4016449.49734938,0,0,0,0,0
NY.ADJ.DRES.GN.ZS,0.0304593339099469,0.0361441953029581,0.0356147210205143,0.0208434395157008,0.0175308268717629,0.0496240213982637,0.0765236541037464,0.0618332612501422,0.0555151662980455,0.0615587492856862,0.0752362559376415,0.0941339859063179,0.0796629455478121,0.138454485778777,0.0852867528930864,0.078624982765008,0.101157217622376,0.0845720274793585,0.0628263820776474,0.0438246616436779,0.0294651243716479,0.0194791606909787,0.0259556024083307,0.0313736016454656,0
NY.ADJ.DFOR.GN.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY.ADJ.DFOR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY.ADJ.NNAT.GN.ZS,6.72262886708165,6.01596478216704,6.21226448248165,6.72718062380827,6.01474649758379,5.80955095649878,5.65398025146697,5.60128566944535,4.67287687682018,7.18389946577841,6.89344604341477,9.28366032512094,11.1696175159323,9.73550704317456,5.7798225184406,7.60550425337496,9.81833668141487,8.55261729515008,8.25566530519133,9.4653819715204,10.4523654381144,10.693986262153,10.7078207678438,10.8029625250455,0
NY.ADJ.NNAT.CD,173595083920.216,150254736399.404,137152511564.885,149759149611.095,131063130606.3,112252724536.565,109147261764.444,114640393539.404,115456040009.41,203028493142.043,197793647323.7,282483216372.78,387687371322.247,366584676406.512,200814153580.7,263491173757.325,377052601742.707,308918826177.362,315298718202.806,374993823718.512,359249890581.08,379865363612.443,401577543820.6,438387460155.102,0
NY.ADJ.DPEM.GN.ZS,0.109820685793531,0.107847678651633,0.10290651589948,0.0971445344511158,0.0941451179259791,0.0911348721722859,0.0884300736063756,0.0901506011180979,0.0910704347475285,0.0863983021886816,0.0875415682070765,0.0815814564078164,0.0797207337145595,0.0798624367991415,0.0847667889775494,0.0814798339086913,0.0786144809057174,0.0763813928312194,0.0785651932622209,0.0755778048672956,0.077673692940172,0.077231895875227,0.0776709556705203,0.0776709556705203,0
NY.ADJ.DPEM.CD,2835844658.90344,2693603622.00318,2271939186.07395,2162612197.04385,2051450363.14246,1760917113.60013,1707098355.93428,1845094322.96389,2250140980.61151,2441754257.13564,2511830216.56565,2482360555.57704,2767034918.57202,3007172140.20959,2945137316.23598,2822852549.79983,3019024048.77418,2758880632.78508,3000546148.03209,2994196126.5496,2669660361.0923,2743385066.14229,2912909384.70266,3151910682.39642,0
